requests: 166, responses: 154
utc     | id8     | bytes  | structural prefix / divergence               | msgs p->c       | max_tokens | routing              | provider | prompt/cached/completion  | cost | colo | ttft
14:31:21 | 2fe4dceb | 1295526 | PURE-APPEND: prefix 1195720B (92.3%) + suffix 99275B, inserted 526B at @1195720 | 206->207 (+1/-0) |    104415 | -                    | Z.AI     |       291237/291008/2285 | 0.004953545 | SIN  | 53
16:19:56 | f7b5aadf | 1308755 | PURE-APPEND: prefix 1196246B (92.3%) + suffix 99275B, inserted 13229B at @1196246 | 207->209 (+2/-0) |    105903 | -                    | Z.AI     |             293555/0/562 | 0.022157125 | SIN  | 53
16:20:36 | a3d43ac3 | 1341239 | PURE-APPEND: prefix 1209475B (92.4%) + suffix 99275B, inserted 32484B at @1209475 | 209->211 (+2/-0) |    106380 | -                    | Z.AI     |       300177/293504/2108 | 0.005430035 | SIN  | 69
16:21:37 | 50b505f3 | 1355701 | PURE-APPEND: prefix 1241959B (92.6%) + suffix 99275B, inserted 14462B at @1241959 | 211->213 (+2/-0) |    108111 | -                    | -        |                        - | - | -    | 46
16:23:37 | 1872eb09 | 1354882 | MUTATION! prefix 92.57% suffix 99277 inserted 613 — mid-history change | 213->214 (+2/-1) |    107958 | -                    | Z.AI     |        302493/300160/715 | 0.004856125 | SIN  | 58
16:24:06 | 65cad8cf | 1374206 | PURE-APPEND: prefix 1255602B (92.7%) + suffix 99275B, inserted 19324B at @1255602 | 214->217 (+3/-0) |    108486 | -                    | Z.AI     |       306494/302464/1369 | 0.00518146 | SIN  | 75
16:24:51 | 358d64ea | 1389454 | PURE-APPEND: prefix 1274926B (92.8%) + suffix 99275B, inserted 15248B at @1274926 | 217->220 (+3/-0) |    109554 | -                    | Z.AI     |       308844/306432/1182 | 0.00507288 | SIN  | 75
16:25:28 | ae08431a | 1399003 | PURE-APPEND: prefix 1290174B (92.9%) + suffix 99275B, inserted 9549B at @1290174 | 220->222 (+2/-0) |    110448 | -                    | Z.AI     |         310048/308800/31 | 0.00473335 | SIN  | 74
16:25:38 | bee701df | 1399351 | PURE-APPEND: prefix 1299723B (92.9%) + suffix 99275B, inserted 348B at @1299723 | 222->224 (+2/-0) |    110472 | -                    | Z.AI     |         310086/310016/83 | 0.00467624 | SIN  | 12
16:25:48 | a8257fae | 1399976 | PURE-APPEND: prefix 1300071B (92.9%) + suffix 99275B, inserted 625B at @1300071 | 224->226 (+2/-0) |    110496 | -                    | Z.AI     |         310198/310080/68 | 0.00467705 | SIN  | 2
